2020-11-29T12:22:52.977Z: info - Serving file '../../../website/public/docs/1-getting-started/images/setup-wsl-3.png'...
2020-11-29T12:22:52.983Z: info - Request: GET /docs/1-getting-started/images/setup-wsl-4.png
2020-11-29T12:22:52.984Z: info - Serving file '../../../website/public/docs/1-getting-started/images/setup-wsl-4.png'...
2020-11-29T12:22:52.992Z: info - Request: GET /docs/1-getting-started/images/setup-wsl-5.png
2020-11-29T12:22:52.994Z: info - Serving file '../../../website/public/docs/1-getting-started/images/setup-wsl-5.png'...
2020-11-29T12:22:53.000Z: info - Request: GET /docs/1-getting-started/images/setup-osx-1.png
2020-11-29T12:22:53.004Z: info - Serving file '../../../website/public/docs/1-getting-started/images/setup-osx-1.png'...
2020-11-29T12:22:53.009Z: info - Request: GET /docs/1-getting-started/images/setup-osx-2.png
2020-11-29T12:22:53.011Z: info - Request: GET /docs/1-getting-started/images/setup-osx-3.png
2020-11-29T12:22:53.011Z: info - Request: GET /docs/1-getting-started/images/bash-version.png
2020-11-29T12:22:53.013Z: info - Request: GET /docs/1-getting-started/images/moving-to-home.png
2020-11-29T12:22:53.014Z: info - Serving file '../../../website/public/docs/1-getting-started/images/moving-to-home.png'...
2020-11-29T12:22:53.015Z: info - Serving file '../../../website/public/docs/1-getting-started/images/moving-to-home.png'...
2020-11-29T12:22:53.015Z: info - Serving file '../../../website/public/docs/1-getting-started/images/moving-to-home.png'...
2020-11-29T12:22:53.016Z: info - Serving file '../../../website/public/docs/1-getting-started/images/moving-to-home.png'...
2020-11-29T12:22:53.023Z: info - Request: GET /docs/1-getting-started/images/ls.png
2020-11-29T12:22:53.023Z: info - Serving file '../../../website/public/docs/1-getting-started/images/ls.png'...
2020-11-29T12:22:53.025Z: info - Request: GET /docs/1-getting-started/images/ls-music.png
2020-11-29T12:22:53.025Z: info - Request: GET /docs/1-getting-started/images/ls-movies-apps.png
2020-11-29T12:22:53.025Z: info - Serving file '../../../website/public/docs/1-getting-started/images/ls-movies-apps.png'...
2020-11-29T12:22:53.026Z: info - Serving file '../../../website/public/docs/1-getting-started/images/ls-movies-apps.png'...
2020-11-29T12:22:53.028Z: info - Request: GET /docs/1-getting-started/images/ls-applications.png
2020-11-29T12:22:53.030Z: info - Serving file '../../../website/public/docs/1-getting-started/images/ls-applications.png'...
2020-11-29T12:22:53.032Z: info - Request: GET /docs/1-getting-started/images/ls-applications-windows.png
2020-11-29T12:22:53.033Z: info - Serving file '../../../website/public/docs/1-getting-started/images/ls-applications-windows.png'...
2020-11-29T12:22:53.036Z: info - Request: GET /docs/1-getting-started/images/ls-applications-windows-error.png
2020-11-29T12:22:53.037Z: info - Serving file '../../../website/public/docs/1-getting-started/images/ls-applications-windows-error.png'...
2020-11-29T12:22:53.038Z: info - Request: GET /docs/1-getting-started/images/ls-downloads.png
2020-11-29T12:22:53.039Z: info - Request: GET /docs/1-getting-started/images/echo-hello-shell.png
2020-11-29T12:22:53.041Z: info - Request: GET /docs/1-getting-started/images/echo-home.png
2020-11-29T12:22:53.042Z: info - Serving file '../../../website/public/docs/1-getting-started/images/echo-home.png'...
2020-11-29T12:22:53.043Z: info - Serving file '../../../website/public/docs/1-getting-started/images/echo-home.png'...
2020-11-29T12:22:53.044Z: info - Request: GET /docs/1-getting-started/images/shell-commands.png
2020-11-29T12:22:53.047Z: info - Request: GET /docs/1-getting-started/images/open-command.png
2020-11-29T12:22:53.048Z: info - Serving file '../../../website/public/docs/1-getting-started/images/open-command.png'...
2020-11-29T12:22:53.048Z: info - Serving file '../../../website/public/docs/1-getting-started/images/open-command.png'...
2020-11-29T12:22:53.052Z: info - Request: GET /docs/1-getting-started/images/open-current-directory.png
2020-11-29T12:22:53.054Z: info - Request: GET /svg/calendar.svg
2020-11-29T12:22:53.055Z: info - Serving file '../../../website/public/svg/calendar.svg'...
2020-11-29T12:22:53.056Z: info - Serving file '../../../website/public/svg/calendar.svg'...
2020-11-29T12:22:53.057Z: info - Serving file '../../../website/public/svg/calendar.svg'...
2020-11-29T12:22:53.059Z: info - Request: GET /svg/edit.svg
2020-11-29T12:22:53.062Z: info - Serving file '../../../website/public/svg/edit.svg'...
2020-11-29T12:22:53.342Z: info - Request: GET /docs/part-1-transitioning-to-the-shell/
2020-11-29T12:22:53.343Z: debug - Adding default page value 'index.html' to url '/docs/part-1-transitioning-to-the-shell/'
2020-11-29T12:22:53.344Z: info - Serving file '../../../website/public/docs/part-1-transitioning-to-the-shell/index.html'...
